Station,Year,Month,Rainfall,TMax,Tmin,WindSp,Timestamp
CHINSALI,2016,1,,28.46,,1.9,1/1/2016 6:00
CHINSALI,2016,2,,29.2,,2.5,1/2/2016 6:00
CHINSALI,2016,3,91.1,29.8,,2.7,1/3/2016 6:00
CHINSALI,2016,4,77.1,28.1,,4.2,1/4/2016 6:00
CHINSALI,2016,5,0,26.3,,,1/5/2016 6:00
CHINSALI,2016,6,0,25.7,,5.1,1/6/2016 6:00
CHINSALI,2016,7,0,29.4,,,1/7/2016 6:00
CHINSALI,2016,8,0,,,,1/8/2016 6:00
CHINSALI,2016,9,0,30.7,,,1/9/2016 6:00
CHINSALI,2016,10,0,,,,1/10/2016 6:00
CHINSALI,2016,11,0,32.3,,4.3,1/11/2016 6:00
CHINSALI,2016,12,318.7,29.2,,3.2,1/12/2016 6:00
CHINSALI,2017,1,,28.12,17.8,,1/1/2017 6:00
CHINSALI,2017,2,,,,,1/2/2017 6:00
CHINSALI,2017,3,258.5,27.3,17.6,,1/3/2017 6:00
CHINSALI,2017,4,,,,,1/4/2017 6:00
CHINSALI,2017,5,0,26.8,14,,1/5/2017 6:00
CHINSALI,2017,6,0,,,,1/6/2017 6:00
CHINSALI,2017,7,0,25.8,11.1,4.3,1/7/2017 6:00
CHINSALI,2017,8,0,,,,1/8/2017 6:00
CHINSALI,2017,9,0,30.8,14.3,5,1/9/2017 6:00
CHINSALI,2017,10,11.7,33.6,17.2,4,1/10/2017 6:00
CHINSALI,2017,11,100,31.4,17.4,4.3,1/11/2017 6:00
CHINSALI,2017,12,,,,,1/12/2017 6:00
CHINSALI,2018,1,412.2,26.95,17.3,3.3,1/1/2018 6:00
CHINSALI,2018,2,275.1,29.2,17.6,3.3,1/2/2018 6:00
CHINSALI,2018,3,193.9,27.4,17.3,3.3,1/3/2018 6:00
CHINSALI,2018,4,123.5,27.5,16.3,3.7,1/4/2018 6:00
CHINSALI,2018,5,0,,,,1/5/2018 6:00
CHINSALI,2018,6,0,26.1,10.8,5.2,1/6/2018 6:00
CHINSALI,2018,7,0,,,,1/7/2018 6:00
CHINSALI,2018,8,0,29,11.7,5.1,1/8/2018 6:00
CHINSALI,2018,9,0,31.5,14.1,,1/9/2018 6:00
CHINSALI,2018,10,0,,,,1/10/2018 6:00
CHINSALI,2018,11,,,,,1/11/2018 6:00
CHINSALI,2018,12,321.8,28.4,17.9,,1/12/2018 6:00
CHINSALI,2019,1,237.3,28.13,17.6,3.7,1/1/2019 6:00
CHINSALI,2019,2,364.9,28.5,17.4,3.7,1/2/2019 6:00
CHINSALI,2019,3,269.5,29.3,17.1,3.9,1/3/2019 6:00
CHINSALI,2019,4,25.5,29.3,15.3,5,1/4/2019 6:00
CHINSALI,2019,5,0,27.7,11.6,6,1/5/2019 6:00
CHINSALI,2019,6,0,25.4,7.8,6.2,1/6/2019 6:00
CHINSALI,2019,7,0,26.4,7.7,5.4,1/7/2019 6:00
